speaker,sentence,sentence_ons,sentence_off,c1_rel,c2_rel,v1_ons,v1_off,frame,word,vowel,vowel_ipa,c2,place,voicing,num_syl,sentence_duration,rel_rel,v1_duration,c2_clos_duration,speech_rate,speech_rate_c
en12,They'll say 'tarb' this Tuesday,393.970023,395.311733,394.39162164482605,394.7151318959475,394.4862054643572,394.63948462852466,I'll say '{word}' this Thursday,tarb,ar,ɑː,b,labial,voiced,mono,1.3417099999999778,323.5102511214336,153.27916416742937,75.64726742282346,4.471905255234066,0.17182599089279638
en12,We'll say 'teegus' this Friday,396.970355,398.327717,397.36222154365555,397.5944075044099,397.4614752494281,397.55821701697636,They'll say '{word}' this Tuesday,teegus,ee,iː,g,velar,voiced,di,1.3573620000000233,232.18596075435016,96.74176754828068,36.190487433543694,5.157062007040038,0.8569827426987677
en12,I'll say 'targus' this Thursday,405.949438,407.360959,406.3188715565764,NA,406.4011398168383,406.54939343463957,We'll say '{word}' this Friday,targus,ar,ɑː,g,velar,voiced,di,1.4115209999999934,NA,148.25361780128787,NA,4.959189413405846,0.6591101490645759
en12,You'll say 'teekus' this Monday,410.82,412.293946,411.26045132808696,411.49160019586293,411.3406795446054,411.41857551328064,We'll say '{word}' this Friday,teekus,ee,iː,k,velar,voiceless,di,1.4739460000000122,231.1488677759712,77.89596867525006,73.024682582286,4.749156346297586,0.44907708195631635
en12,We'll say 'teeg' this Friday,414.047346,415.279466,414.4184979083924,414.7272809145132,414.51325461891474,414.66276462330757,She'll say '{word}' this Sunday,teeg,ee,iː,g,velar,voiced,mono,1.232120000000009,308.783006120791,149.51000439282325,64.51629120562075,4.869655553030514,0.5695762886892437
en13,They'll say 'teepus' this Tuesday,3.074921,4.781861,3.5253764641060434,3.7717794722748095,3.597203345438995,3.674921,She'll say '{word}' this Sunday,teepus,ee,iː,p,labial,voiceless,di,1.7069400000000003,246.40300816876604,77.71765456100476,96.8584722748096,4.1009057143191905,-0.19917355002207948
en13,She'll say 'teebus' this Sunday,6.138083,7.889155,6.69488677117306,6.944869714291016,6.767129514607128,6.868083,We'll say '{word}' this Friday,teebus,ee,iː,b,labial,voiced,di,1.7510719999999997,249.98294311795632,100.95348539287218,76.78671429101591,3.997551214341844,-0.30252804999942606
en13,We'll say 'terkus' this Friday,9.110023,10.71748,9.547026684970202,9.81043816637239,9.621758649216178,9.730023,I'll say '{word}' this Thursday,terkus,er,əː,k,velar,voiceless,di,1.6074570000000001,263.41148140218706,108.26435078382168,80.41516637238999,4.3547043560107666,0.054625091669496584
en13,I'll say 'tergus' this Thursday,11.990023,13.693827,12.409112788590305,12.68688299286262,12.496342287914727,12.632009519903573,You'll say '{word}' this Monday,tergus,er,əː,g,velar,voiced,di,1.7038039999999999,277.7702042723149,135.66723198884569,54.873472959046765,4.1084537892856225,-0.19162547505564742
en13,They'll say 'tarp' this Tuesday,14.995011,16.595114,15.444717156171498,15.7446551638818,15.51550176650975,15.647976828334151,They'll say '{word}' this Tuesday,tarp,ar,ɑː,p,labial,voiceless,mono,1.600102999999999,299.93800771030266,132.47506182440105,96.67833554764904,3.7497586092895294,-0.5503206550517405
en13,They'll say 'tark' this Tuesday,18.015011,19.63341,18.458057566102756,18.847290665755143,18.538654898372034,18.707839917087533,I'll say '{word}' this Thursday,tark,ar,ɑː,k,velar,voiceless,mono,1.6183990000000001,389.2330996523867,169.18501871549907,139.45074866760976,3.707367589821793,-0.5927116745194771
en13,She'll say 'teepus' this Sunday,20.873753,22.594782,21.430366181777437,21.678530034360485,21.51624937457072,21.580092777859587,She'll say '{word}' this Sunday,teepus,ee,iː,p,labial,voiceless,di,1.721028999999998,248.16385258304763,63.843403288867506,98.43725650089752,4.0673341355665755,-0.23274512877469444
en13,They'll say 'targ' this Tuesday,23.935011,25.57176,24.37476958836242,24.728616787822983,24.46411934653433,24.655011,You'll say '{word}' this Monday,targ,ar,ɑː,g,velar,voiced,mono,1.6367490000000018,353.8471994605636,190.89165346566972,73.60578782298433,3.665803369973034,-0.6342758943682361
en13,You'll say 'terp' this Monday,26.855011,28.322831,27.310857775586207,27.612729158087106,27.39835924560218,27.521257796933252,She'll say '{word}' this Sunday,terp,er,əː,p,labial,voiceless,mono,1.4678199999999997,301.87138250089873,122.89855133107253,91.47136115385379,4.087694676458967,-0.21238458788230297
en13,They'll say 'terg' this Tuesday,33.010023,34.508579,33.46679083227192,33.75800003081205,33.5535263650873,33.69877010756947,They'll say '{word}' this Tuesday,terg,er,əː,g,velar,voiced,mono,1.4985560000000007,291.2091985401304,145.24374248217242,59.22992324257592,4.003854377147065,-0.2962248871942048
en13,You'll say 'teep' this Monday,35.864801,37.199565,36.311273849899216,36.55127241096847,36.38441459423874,36.46900710359649,I'll say '{word}' this Thursday,teep,ee,iː,p,labial,voiceless,mono,1.3347639999999998,239.99856106925677,84.59250935774776,82.26530737198345,4.495176675427267,0.19509741108599687
en13,I'll say 'tarp' this Thursday,38.5,39.993555,38.90327335442479,39.20179047561657,38.98672870533965,39.12,They'll say '{word}' this Tuesday,tarp,ar,ɑː,p,labial,voiceless,mono,1.4935550000000006,298.51712119177876,133.27129466034648,81.79047561657171,4.017260830702583,-0.28281843363868653
en13,They'll say 'terk' this Tuesday,47.43664,48.840073,47.85960031649409,48.11935568176023,47.93687558018783,48.0454093657789,We'll say '{word}' this Friday,terk,er,əː,k,velar,voiceless,mono,1.4034329999999997,259.7553652661446,108.53378559107085,73.94631598133117,4.275230809023303,-0.024848455317966867
en13,We'll say 'teekus' this Friday,49.947368,51.501016,50.361130110296344,50.59386822758472,50.43092306673193,50.51072732084302,We'll say '{word}' this Friday,teekus,ee,iː,k,velar,voiceless,di,1.5536480000000026,232.73811728837757,79.80425411108882,83.14090674170416,4.505525061017675,0.20544579667640495
en13,You'll say 'targus' this Monday,52.711316,54.298361,53.150050218281585,53.43823942044291,53.24997079772213,53.37765760429987,We'll say '{word}' this Friday,targus,ar,ɑː,g,velar,voiced,di,1.5870450000000034,288.1892021613268,127.68680657774212,60.58181614304203,4.410712991755108,0.11063372741383759
en13,They'll say 'tarb' this Tuesday,55.665034,57.328402,56.063683231945994,56.394744267374165,56.16923793759943,56.315034,I'll say '{word}' this Thursday,tarb,ar,ɑː,b,labial,voiced,mono,1.6633679999999984,331.06103542817067,145.79606240056364,79.71026737416764,3.607139250003611,-0.6929400143376592
en13,They'll say 'terb' this Tuesday,58.78,60.366543,59.24148210980021,59.55564227788746,59.33,59.48766680967277,We'll say '{word}' this Friday,terb,er,əː,b,labial,voiced,mono,1.586542999999999,314.16016808724834,157.6668096727687,67.9754682146907,3.78180736355712,-0.5182719007841499
en13,We'll say 'terb' this Friday,61.598302,63.091863,62.05879828264394,62.323690196318964,62.13095169196629,62.255446328379584,We'll say '{word}' this Friday,terb,er,əː,b,labial,voiced,mono,1.4935609999999997,264.8919136750223,124.49463641329572,68.24386793937975,4.017244692382836,-0.28283457195843376
en13,She'll say 'tergus' this Sunday,64.310747,66.010317,64.8499734325748,65.10513863083698,64.92247211613072,65.04696675254402,You'll say '{word}' this Monday,tergus,er,əː,g,velar,voiced,di,1.6995699999999943,255.16519826217632,124.49463641330283,58.17187829295278,4.11868884482547,-0.18139041951580026
en13,We'll say 'teek' this Friday,67.377245,68.845055,67.82857178822891,68.06566767228351,67.90645093265827,67.9814669315227,You'll say '{word}' this Monday,teek,ee,iː,k,velar,voiceless,mono,1.46781,237.0958840545967,75.01599886442989,84.20074076080653,4.087722525394976,-0.21235673894629414
en13,I'll say 'terkus' this Thursday,70.204989,72.029603,70.67478491836734,70.94994136441049,70.74844496712667,70.864989,I'll say '{word}' this Thursday,terkus,er,əː,k,velar,voiceless,di,1.8246139999999968,275.15644604315526,116.54403287332116,84.9523644104977,3.8364278691273945,-0.46365139521387544
en13,We'll say 'terk' this Friday,73.42,74.928875,73.85466807137074,74.15284761647177,73.92442152533087,74.07,We'll say '{word}' this Friday,terk,er,əː,k,velar,voiceless,mono,1.5088750000000033,298.1795451010356,145.57847466912222,82.8476164717813,3.9764725374865293,-0.3236067268547407
en13,They'll say 'teebus' this Tuesday,76.730023,78.392393,77.18828828538514,77.42623438660813,77.2614091871872,77.36355863244938,We'll say '{word}' this Friday,teebus,ee,iː,b,labial,voiced,di,1.6623699999999957,237.9461012229882,102.14944526218517,62.6757541587466,4.210855585699945,-0.08922367864132497
en13,We'll say 'tarp' this Friday,79.564989,80.991236,79.98380836413985,80.28052148946949,80.06350109460003,80.19278398626,They'll say '{word}' this Tuesday,tarp,ar,ɑː,p,labial,voiceless,mono,1.4262470000000036,296.7131253296458,129.28289165996887,87.73750320949603,4.206844957430224,-0.09323430691104573
en13,You'll say 'teeb' this Monday,82.325999,83.712265,82.74912796654586,83.01449510533912,82.83420562243704,82.955999,You'll say '{word}' this Monday,teeb,ee,iː,b,labial,voiced,mono,1.3862660000000062,265.3671387932661,121.79337756296604,58.496105339116866,4.32817366941119,0.028094405069920114
en13,You'll say 'teekus' this Monday,85.025569,86.592092,85.45295726899447,85.68353571657272,85.51519543437679,85.59819185865231,We'll say '{word}' this Friday,teekus,ee,iː,k,velar,voiceless,di,1.5665229999999895,230.57844757825308,82.99642427552101,85.34385792040666,4.468494876870654,0.16841561252938408
en13,We'll say 'terp' this Friday,87.950023,89.411192,88.46208844235792,88.72757685855562,88.53900958770133,88.65711988378574,She'll say '{word}' this Sunday,terp,er,əː,p,labial,voiceless,mono,1.4611689999999982,265.48841619769803,118.11029608441004,70.45697476988266,4.106301187610747,-0.19377807673052327
en13,She'll say 'teekus' this Sunday,90.587157,92.22235,91.14678887410867,91.37371138180936,91.21527105352953,91.29667139272284,We'll say '{word}' this Friday,teekus,ee,iː,k,velar,voiceless,di,1.635193000000001,226.92250770069222,81.40033919330847,77.03998908651499,4.280840243322957,-0.019239021018313096
en13,She'll say 'tarp' this Sunday,93.342521,94.861834,93.87774354707575,94.17984226158323,93.96515968503911,94.10880734243906,They'll say '{word}' this Tuesday,tarp,ar,ɑː,p,labial,voiceless,mono,1.5193129999999968,302.0987145074798,143.64765739995278,71.03491914416793,3.9491533344347167,-0.35092592990655325
en13,You'll say 'teek' this Monday,95.930023,97.294824,96.38087908489452,96.62103959228794,96.45767099563608,96.53747524974717,You'll say '{word}' this Monday,teek,ee,iː,k,velar,voiceless,mono,1.364801,240.16050739342631,79.80425411109593,83.56434254076817,4.396245313419319,0.09616604907804938
en13,They'll say 'teekus' this Tuesday,98.470023,100.088814,98.9102938562694,99.10386006208049,98.98450157606258,99.030788043447,We'll say '{word}' this Friday,teekus,ee,iː,k,velar,voiceless,di,1.6187910000000016,193.56620581108075,46.28646738441944,73.07201863348212,4.324214799810472,0.024135535469201663
en13,I'll say 'tarb' this Thursday,101.483663,103.025948,101.96737914461309,102.25403169983646,102.04123928490998,102.183663,I'll say '{word}' this Thursday,tarb,ar,ɑː,b,labial,voiced,mono,1.5422849999999926,286.65255522336963,142.42371509001828,70.36869983646454,3.8903315535066665,-0.4097477108346035
en13,You'll say 'terkus' this Monday,104.304918,106.00878,104.85636724465357,105.14356872881929,104.91555576257413,105.054918,I'll say '{word}' this Thursday,terkus,er,əː,k,velar,voiceless,di,1.7038620000000009,287.20148416572044,139.36223742587117,88.65072881928882,4.108313936222532,-0.1917653281187377
en13,They'll say 'terpus' this Tuesday,107.350023,109.049682,107.78678882393433,108.05481368393941,107.86030035463182,107.98639107612733,They'll say '{word}' this Tuesday,terpus,er,əː,p,labial,voiceless,di,1.6996590000000111,268.0248600050845,126.09072149551537,68.42260781208154,4.11847317609,-0.18160608825126978
en13,We'll say 'tark' this Friday,110.32,111.949977,110.80933027075218,111.14062265280523,110.89442571129393,111.06680290017388,I'll say '{word}' this Thursday,tark,ar,ɑː,k,velar,voiceless,mono,1.629977000000011,331.29238205305,172.37718887994902,73.81975263135132,3.6810335360560056,-0.6190457282852644
en13,She'll say 'terkus' this Sunday,113.053973,114.764989,113.60262515658947,113.88312018267577,113.67703064642727,113.81589004858056,I'll say '{word}' this Thursday,terkus,er,əː,k,velar,voiceless,di,1.7110160000000008,280.4950260862995,138.85940215328674,67.23013409521172,4.091136494340203,-0.20894277000106687
en13,I'll say 'teekus' this Thursday,115.975011,117.700321,116.42603505474297,116.6839726977873,116.5039988936934,116.60136008370894,We'll say '{word}' this Friday,teekus,ee,iː,k,velar,voiceless,di,1.7253100000000074,257.937643044329,97.36119001553334,82.61261407835718,4.057241886965223,-0.2428373773760466
en13,We'll say 'teebus' this Friday,118.995011,120.760406,119.5044389647704,119.77218676585855,119.59291858409615,119.70304845476944,We'll say '{word}' this Friday,teebus,ee,iː,b,labial,voiced,di,1.765394999999998,267.74780108814866,110.1298706732905,69.13831108910529,3.965118287975217,-0.33496097636605304
en13,I'll say 'teegus' this Thursday,122.124989,123.844989,122.54373109672692,122.80113472334212,122.63097080376696,122.74908109985135,They'll say '{word}' this Tuesday,teegus,ee,iː,g,velar,voiced,di,1.7199999999999989,257.40362661520066,118.11029608439583,52.05362349076381,4.069767441860468,-0.23031182248080206
en13,I'll say 'tark' this Thursday,125.2,126.820769,125.62007266724902,125.95105605354526,125.70406322386464,125.87,I'll say '{word}' this Thursday,tark,ar,ɑː,k,velar,voiceless,mono,1.6207689999999957,330.98338629623925,165.93677613536784,81.0560535452538,3.701946421729448,-0.5981328426118218
en13,You'll say 'terpus' this Monday,128.335011,129.983857,128.81868005297832,129.0867999279625,128.8865645840383,129.015011,They'll say '{word}' this Tuesday,terpus,er,əː,p,labial,voiceless,di,1.6488459999999918,268.11987498416556,128.44641596169026,71.78892796250125,4.245393444869948,-0.054685819471322006
en13,I'll say 'targ' this Thursday,131.275011,132.833469,131.69366293342094,131.9725517949511,131.7786314872594,131.92547131482377,You'll say '{word}' this Monday,targ,ar,ɑː,g,velar,voiced,mono,1.5584580000000017,278.888861530163,146.83982756437786,47.08048012733457,3.849959382928506,-0.45011988141276404
en13,She'll say 'tarb' this Sunday,134.013726,135.571665,134.54140032179956,134.83677622147013,134.62900668869028,134.7758465162547,I'll say '{word}' this Thursday,tarb,ar,ɑː,b,labial,voiced,mono,1.5579390000000046,295.3758996705744,146.83982756440628,60.929705215443164,3.8512419292411204,-0.44883733510014956
en13,You'll say 'tarpus' this Monday,136.784989,138.488261,137.23675696155996,137.53839218823018,137.324695217663,137.46834287506294,You'll say '{word}' this Monday,tarpus,ar,ɑː,p,labial,voiceless,di,1.7032719999999983,301.63522667021425,143.64765739995278,70.04931316723173,4.109737023798904,-0.19034224054236581
en13,I'll say 'tarbus' this Thursday,139.784989,141.544054,140.2292075906368,140.51555788580382,140.31107160237556,140.45312317469327,She'll say '{word}' this Sunday,tarbus,ar,ɑː,b,labial,voiced,di,1.7590649999999926,286.3502951670114,142.05157231771182,62.434711110540775,3.9793867764977584,-0.32069248784351156
en13,You'll say 'teeg' this Monday,142.845034,144.439955,143.35999105905648,143.64460330192,143.45206786928804,143.58933118635912,She'll say '{word}' this Sunday,teeg,ee,iː,g,velar,voiced,mono,1.5949209999999994,284.61224286351694,137.2633170710742,55.272115560882185,3.7619418140459637,-0.5381374502953062
en13,She'll say 'teeg' this Sunday,145.611628,147.212486,146.18689716762918,146.45907030186817,146.27343949708123,146.39793413349452,She'll say '{word}' this Sunday,teeg,ee,iː,g,velar,voiced,mono,1.6008580000000165,272.17313423898304,124.49463641328862,61.136168373650435,3.747990140287232,-0.5520891240540378
en13,We'll say 'teeg' this Friday,148.510023,150.038796,148.9895237379501,149.2478009266052,149.07174500312578,149.190023,She'll say '{word}' this Sunday,teeg,ee,iː,g,velar,voiced,mono,1.528773000000001,258.2771886551143,118.27799687421248,57.77792660521186,3.924716095849414,-0.37536316849185614
en13,We'll say 'tarpus' this Friday,151.236221,152.884289,151.6565707246894,151.9352307115872,151.7408275266457,151.8733025884701,You'll say '{word}' this Monday,tarpus,ar,ɑː,p,labial,voiceless,di,1.648067999999995,278.65998689779303,132.47506182440816,61.92812311709872,4.247397558838604,-0.05268170550266582
en13,We'll say 'targ' this Friday,154.184717,155.686863,154.59764825894527,154.92673857283106,154.69408686618286,154.87604056555614,You'll say '{word}' this Monday,targ,ar,ɑː,g,velar,voiced,mono,1.502145999999982,329.0903138857857,181.9536993732811,50.698007274917245,3.9942855088653646,-0.30579375547590537
en13,I'll say 'terbus' this Thursday,157.16,158.867242,157.60458212565302,157.86338655049946,157.6811910626163,157.80249352886517,I'll say '{word}' this Thursday,terbus,er,əː,b,labial,voiced,di,1.707242000000008,258.8044248464314,121.30246624886354,60.89302163428556,4.100180290784767,-0.1998989735565031
en13,You'll say 'terbus' this Monday,160.24,161.802863,160.6790536712398,160.927385787629,160.7468373793714,160.8617555052914,I'll say '{word}' this Thursday,terbus,er,əː,b,labial,voiced,di,1.562862999999993,248.33211638917874,114.91812591998496,65.63028233759383,4.478959448141028,0.178880183799758
en13,They'll say 'tarkus' this Tuesday,163.090023,164.820029,163.55404758347743,163.84245240307052,163.6236113343557,163.74970205585123,She'll say '{word}' this Sunday,tarkus,ar,ɑː,k,velar,voiceless,di,1.730006000000003,288.4048195930973,126.09072149552958,92.75034721929387,4.046228741403202,-0.25385052293806787
en13,They'll say 'teek' this Tuesday,166.010023,167.549001,166.45358299994277,166.71026795882162,166.52884765978564,166.62620884980117,You'll say '{word}' this Monday,teek,ee,iː,k,velar,voiceless,mono,1.5389780000000144,256.68495887885,97.36119001553334,84.05910902044411,3.898691209360981,-0.40138805498028907
en13,They'll say 'tarpus' this Tuesday,168.915011,170.664879,169.36294316541378,169.6432021136676,169.42956977212665,169.57640959969106,You'll say '{word}' this Monday,tarpus,ar,ɑː,p,labial,voiceless,di,1.7498680000000206,280.2589482538167,146.83982756440628,66.7925139765373,4.000301737045262,-0.2997775272960084
en13,She'll say 'terg' this Sunday,171.797926,173.35048,172.37302614807734,172.67811144729177,172.45504680079193,172.60348271343855,They'll say '{word}' this Tuesday,terg,er,əː,g,velar,voiced,mono,1.5525540000000149,305.08529921442573,148.43591264661882,74.628733853217,3.8645998786515268,-0.4354793856897432
en13,We'll say 'tarkus' this Friday,174.630023,176.294685,175.09764204761908,175.3869017748712,175.16622864877655,175.29391545535427,She'll say '{word}' this Sunday,tarkus,ar,ɑː,k,velar,voiceless,di,1.6646619999999928,289.25972725213,127.6868065777137,92.98631951693892,4.205057843574269,-0.09502142076700082
en13,She'll say 'tarpus' this Sunday,177.414856,179.178804,177.99340312350725,178.27271658806572,178.0661492780149,178.204856,You'll say '{word}' this Monday,tarpus,ar,ɑː,p,labial,voiceless,di,1.7639480000000276,279.31346455847006,138.70672198510192,67.86058806571305,3.9683709497104735,-0.3317083146307964
en13,She'll say 'tarbus' this Sunday,180.434908,182.134478,180.96790521989337,181.25973077763686,181.04501276912654,181.184908,She'll say '{word}' this Sunday,tarbus,ar,ɑː,b,labial,voiced,di,1.6995699999999943,291.8255577434934,139.89523087346356,74.82277763685374,4.11868884482547,-0.18139041951580026
en13,She'll say 'terp' this Sunday,183.525036,185.031473,184.0532159461243,184.36654066679955,184.125036,184.26567970963288,She'll say '{word}' this Sunday,terp,er,əː,p,labial,voiceless,mono,1.5064370000000054,313.3247206752401,140.64370963288297,100.86095716667387,3.9829080140755826,-0.3171712502656874
en13,She'll say 'teegus' this Sunday,186.288983,187.932274,186.83982954320157,187.05365291733895,186.90490414840028,187.01982227432026,They'll say '{word}' this Tuesday,teegus,ee,iː,g,velar,voiced,di,1.643291000000005,213.82337413737673,114.91812591998496,33.83064301868899,4.259744622224535,-0.04033464211673454
en13,You'll say 'tergus' this Monday,189.310023,190.906522,189.8075414984633,190.0596594212898,189.88116970055103,190.0120486772932,You'll say '{word}' this Monday,tergus,er,əː,g,velar,voiced,di,1.5964989999999943,252.1179228264998,130.8789767421672,47.61074399661425,4.384594039833426,0.08451477549215625
en13,You'll say 'targ' this Monday,192.24,193.664898,192.7139017550485,193.01668377422556,192.78614574607025,192.95373467970353,You'll say '{word}' this Monday,targ,ar,ɑː,g,velar,voiced,mono,1.4248979999999847,302.7820191770445,167.58893363328298,62.94909452202546,4.210827722405439,-0.08925154193583129
en13,I'll say 'teepus' this Thursday,194.950023,196.643623,195.39426946806722,195.6321455597643,195.455094689073,195.55405196417075,She'll say '{word}' this Sunday,teepus,ee,iː,p,labial,voiceless,di,1.6936000000000035,237.8760916970748,98.95727509774588,78.09359559354334,4.133207368918272,-0.1668718954229984
en13,I'll say 'teeb' this Thursday,197.750919,199.291691,198.20514642447088,198.49665270081525,198.28305790909445,198.430919,You'll say '{word}' this Monday,teeb,ee,iː,b,labial,voiced,mono,1.5407719999999756,291.5062763443643,147.86109090553623,65.73370081525809,3.8941517628825646,-0.4059275014587054
en13,I'll say 'terk' this Thursday,200.450023,202.049977,200.90144716305065,201.21580746961615,200.98612575115106,201.13456166379768,We'll say '{word}' this Friday,terk,er,əː,k,velar,voiceless,mono,1.5999540000000252,314.3603065655043,148.43591264661882,81.24580581846885,3.7501078155996392,-0.5499714487416307
